entity,entity_full_name,agency,date,action_type,from_rating,to_rating,instrument_type,rationale_url,notes
REC,REC Limited,CRISIL,2023-02-07,affirmed,CRISIL PPMLD AAA r,CRISIL PPMLD AAA,Long Term Principal Protected Market Linked Debentures,,Financial Institution; Debt and Equity Listed; Source: archive/2025-03
REC,REC Limited,CRISIL,2023-03-02,initial,,CRISIL AAA,Bond/Non Convertible Debentures,,Financial Institution; Debt and Equity Listed; Source: archive/2025-03
REC,REC Limited,CRISIL,2023-03-31,initial,,CRISIL AAA,Bond/Non Convertible Debentures,,Financial Institution; Debt and Equity Listed; Source: archive/2025-03
REC,REC Limited,CRISIL,2023-05-16,initial,,CRISIL AAA,Perpetual Non Convertible Debentures,,Financial Institution; Debt and Equity Listed; Source: archive/2025-03
REC,REC Limited,CRISIL,2023-12-28,initial,,CRISIL AAA,Bond/Non Convertible Debentures,,Financial Institution; Debt and Equity Listed; Source: archive/2025-03
REC,REC Limited,CRISIL,2024-03-29,initial,,CRISIL AAA,Bond/Non Convertible Debentures,,Financial Institution; Debt and Equity Listed; Source: archive/2025-03
REC,REC Limited,CRISIL,2024-06-07,initial,,CRISIL AAA,Bond/Non Convertible Debentures,,Financial Institution; Debt and Equity Listed; Source: archive/2025-03
REC,REC Limited,CRISIL,2025-03-28,initial,,CRISIL AAA,Bond/Non Convertible Debentures,,Financial Institution; Debt and Equity Listed; Source: archive/2025-03
Reliance Capital,Reliance Capital Limited,ICRA,2019-02-18,outlook_negative,[ICRA]AA (Stable),[ICRA]AA (Negative),Long Term Debt,,Outlook revised on concerns over group exposure; divestment delays
Reliance Capital,Reliance Capital Limited,CRISIL,2019-02-19,outlook_negative,CRISIL AA (Stable),CRISIL AA (Negative),Long Term Debt,,Outlook revised to negative
Reliance Capital,Reliance Capital Limited,ICRA,2019-03-05,downgrade,[ICRA]A1+,[ICRA]A1,Commercial Paper,https://www.businesstoday.in/latest/corporate/story/icra-downgrades-reliance-capital-rating-by-one-notch-to-a1-174898-2019-03-06,CP downgraded by one notch to A1; delay in monetising non-core investments
Reliance Capital,Reliance Capital Limited,CARE,2019-04-19,downgrade,CARE AA,CARE A,Long Term Debt,https://www.business-standard.com/article/markets/reliance-capital-tanks-27-in-three-days-on-brickwork-care-rating-downgrade-119042200150_1.html,LT debt programme revised to A (Credit Watch with Developing Implications); extension of divestment timeline
Reliance Capital,Reliance Capital Limited,ICRA,2019-04-26,downgrade,[ICRA]A1,[ICRA]A4,Commercial Paper,https://www.business-standard.com/article/news-ani/icra-downgrades-reliance-capital-to-a4-with-negative-implications-119042700225_1.html,CP downgraded from A2 to A4 (Negative); stretched liquidity at subsidiaries RCF and RHFL
Reliance Capital,Reliance Capital Limited,CARE,2019-05-19,downgrade,CARE A,CARE BBB,Long Term Debt,https://www.business-standard.com/article/companies/care-downgrades-reliance-capital-bonds-rating-from-a-to-bbb-119051900907_1.html,LT debt downgraded 3 notches from A to BBB; defaults by subsidiaries RHFL and RCFL
Reliance Capital,Reliance Capital Limited,CARE,2019-06-21,downgrade,CARE BBB,CARE A,Long Term Debt,,Concurrent multi-notch action (note: CARE had already been at BBB from May 19)
