entity,entity_full_name,agency,date,action_type,from_rating,to_rating,instrument_type,rationale_url,notes
Fusion Micro Finance,Fusion Micro Finance Limited,CRISIL,2022-11-14,upgrade,CRISIL A-,CRISIL A,Non Convertible Debentures,,Microfinance Institutions; Listed; Source: archive/2023-10
Fusion Micro Finance,Fusion Micro Finance Limited,ICRA,2022-12-09,upgrade,[ICRA] A- (Stable),[ICRA] A (Stable),Non-Convertible Debentures,,source=movement_H2_2022-2023; trigger=Annual Surveillance
Fusion Micro Finance,Fusion Micro Finance Limited,ICRA,2022-12-09,upgrade,[ICRA] A-,[ICRA] A,Subordinate Debt,,source=history_H1_2023-2024
Fusion Micro Finance,Fusion Micro Finance Limited,ICRA,2024-01-12,upgrade,[ICRA] A (Positive),[ICRA] A+ (Stable),Non convertible debenture,,source=movement_H2_2023-2024; trigger=Annual Surveillance
Fusion Micro Finance,Fusion Micro Finance Limited,ICRA,2024-01-12,upgrade,[ICRA] A,[ICRA] A+,Subordinate Debt,,source=history_H2_2023-2024
HDB Financial Services,HDB Financial Services Limited,CRISIL,2012-06-29,initial,,CRISIL AAA,Subordinated Debt,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2013-01-30,initial,,CRISIL AAA,Subordinated Debt,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2013-05-21,initial,,CRISIL AAA,Subordinated Debt,,Non Banking Financial Company (NBFC); Debt Listed; Source: archive/2025-03
HDB Financial Services,HDB Financial Services Limited,CRISIL,2014-06-16,initial,,CRISIL AAA,Subordinated Debt,,Non Banking Financial Company (NBFC); Debt Listed; Source: archive/2025-03
HDB Financial Services,HDB Financial Services Limited,CRISIL,2016-07-11,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2017-06-16,initial,,CRISIL AAA,Perpetual Bonds,,Non Banking Financial Company (NBFC); Debt Listed; Source: archive/2025-03
HDB Financial Services,HDB Financial Services Limited,CRISIL,2018-07-02,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2018-11-14,initial,,CRISIL PPMLD AAA r,Long Term Principal Protected Market Linked Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2019-04-23,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Venus Trust March 2019; BFSI; Unlisted; Source: archive/2022-09
HDB Financial Services,HDB Financial Services Limited,CRISIL,2019-06-12,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Venus Trust March 2019; BFSI; Unlisted; Source: archive/2022-09
HDB Financial Services,HDB Financial Services Limited,CRISIL,2019-07-17,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Venus Trust June 2019; BFSI; Unlisted; Source: archive/2022-09
HDB Financial Services,HDB Financial Services Limited,CRISIL,2019-08-21,initial,,CRISIL PPMLD AAA r,Long Term Principal Protected Market Linked Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2019-08-21,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt Listed; Source: archive/2025-03
HDB Financial Services,HDB Financial Services Limited,CRISIL,2019-11-13,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Venus Trust June 2019; BFSI; Unlisted; Source: archive/2022-09
HDB Financial Services,HDB Financial Services Limited,CRISIL,2020-01-10,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Venus Trust December 2019; BFSI; Unlisted; Source: archive/2022-09
HDB Financial Services,HDB Financial Services Limited,CRISIL,2020-05-27,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Venus Trust March 2020; BFSI; Unlisted; Source: archive/2022-09
HDB Financial Services,HDB Financial Services Limited,CRISIL,2020-07-08,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Venus Trust December 2019; BFSI; Unlisted; Source: archive/2022-09
HDB Financial Services,HDB Financial Services Limited,CRISIL,2020-09-23,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Venus Trust March 2020; BFSI; Unlisted; Source: archive/2022-09
HDB Financial Services,HDB Financial Services Limited,CRISIL,2020-10-26,initial,,Provisional CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Venus Trust September 2020; Securitisation; Unlisted; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2021-02-16,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Venus Trust September 2020; Securitisation; Unlisted; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2021-03-26,initial,,Provisional CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Venus Trust March 2021; Securitisation; Unlisted; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2021-06-25,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Venus Trust March 2021; Securitisation; Unlisted; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2021-07-07,initial,,CRISIL AAA,Subordinated Debt,,Non Banking Financial Company (NBFC); Debt Listed; Source: archive/2025-03
HDB Financial Services,HDB Financial Services Limited,CRISIL,2021-08-13,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt Listed; Source: archive/2025-03
HDB Financial Services,HDB Financial Services Limited,CRISIL,2022-03-14,initial,,Provisional CRISIL AAA(SO),Series A PTCs (securitized),,Trust: Venus Trust March 2022 A; Securitisation; Unlisted; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2022-05-31,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Venus Trust March 2022 A; Securitisation; Unlisted; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2022-07-07,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2023-02-07,affirmed,CRISIL PPMLD AAA r,CRISIL PPMLD AAA,Long Term Principal Protected Market Linked Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
HDB Financial Services,HDB Financial Services Limited,CRISIL,2023-06-13,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt Listed; Source: archive/2025-03
HDB Financial Services,HDB Financial Services Limited,CRISIL,2023-09-01,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt Listed; Source: archive/2025-03
HDB Financial Services,HDB Financial Services Limited,CRISIL,2024-03-07,initial,,CRISIL AAA,Subordinated Debt,,Non Banking Financial Company (NBFC); Debt Listed; Source: archive/2025-03
HDB Financial Services,HDB Financial Services Limited,CRISIL,2025-05-28,initial,,CRISIL AAA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt Listed; Source: current
HDB Financial Services,HDB Financial Services Limited,CRISIL,2025-06-11,initial,,CRISIL AAA,Subordinated Debt,,Non Banking Financial Company (NBFC); Debt Listed; Source: current
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,1997-06-30,initial,,CRISIL AAA,Bond,,Housing Finance Company; Listed; Source: archive/2022-09
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2006-07-25,initial,,[ICRA] AAA,NCD,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2009-08-05,initial,,[ICRA] BBB,HDFC Mortgage Loan Pool D.A. Jul-09 Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2009-08-05,initial,,[ICRA] AAA,HDFC Mortgage Loan Pool D.A. Jul-09 Acquirer Payouts,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2010-03-31,initial,,[ICRA] BBB,HDFC Mortgage Loan Pool D.A. Mar-10 III Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2010-03-31,initial,,[ICRA] AAA,HDFC Mortgage Loan Pool D.A. Mar-10 III Purchaser Payouts,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2010-09-07,initial,,[ICRA] A1+,NCD,,source=history_H1_2023-2024
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2011-04-13,initial,,[ICRA] BBB,HDFC Mortgage Loan Pool D.A. Mar-11 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2011-04-13,initial,,[ICRA] AAA,HDFC Mortgage Loan Pool D.A. Mar-11 II Purchaser Payouts,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2012-02-06,initial,,CRISIL BBB(SO),Second Loss Facility (securitized),,Trust: HDFC Assignment of Receviables January 2012; Securitisation; Unlisted; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2012-02-06,initial,,CRISIL AAA(SO),Acquirer Payouts (securitized),,Trust: HDFC Assignment of Receviables January 2012; Securitisation; Unlisted; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2012-02-21,initial,,CRISIL AAA,Subordinated Debt,,Housing Finance Company; Listed; Source: archive/2022-09
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2012-03-28,initial,,[ICRA] BBB,HDFC Mortgage Loan Pool D.A. Mar-12 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2012-03-28,initial,,[ICRA] AAA,HDFC Mortgage Loan Pool D.A. Mar-12 II Purchaser Payouts,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2012-05-15,upgrade,[ICRA] BBB,[ICRA] BBB+,HDFC Mortgage Loan Pool D.A. Mar-10 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2013-04-30,upgrade,[ICRA] BBB,[ICRA] BBB+,HDFC Mortgage Loan Pool D.A. Mar-10 III Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2013-04-30,upgrade,[ICRA] BBB+,[ICRA] A,HDFC Mortgage Loan Pool D.A. Mar-10 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2013-04-30,upgrade,[ICRA] BBB,[ICRA] A-,HDFC Mortgage Loan Pool D.A. Mar-11 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2013-04-30,upgrade,[ICRA] BBB+,[ICRA] A-,HDFC Mortgage Loan Pool D.A. Jul-09 Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2013-06-28,initial,,[ICRA] AAA,Subordinate Debt,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-01-10,upgrade,[ICRA] BBB+,[ICRA] A-,HDFC Mortgage Loan Pool D.A. Mar-10 III Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-01-10,upgrade,[ICRA] A,[ICRA] AA-,HDFC Mortgage Loan Pool D.A. Mar-10 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-01-10,upgrade,[ICRA] A-,[ICRA] A,HDFC Mortgage Loan Pool D.A. Mar-10 IV Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-01-10,upgrade,[ICRA] A-,[ICRA] A+,HDFC Mortgage Loan Pool D.A. Mar-11 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-01-10,upgrade,[ICRA] BBB+,[ICRA] A,HDFC Mortgage Loan Pool D.A. Mar-11 I Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2014-04-08,initial,,CRISIL AAA(SO),Series A PTCs (securitized),,Trust: HDFC Trust 2014; Securitisation; Unlisted; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-08-28,upgrade,[ICRA] A-,[ICRA] A+,HDFC Mortgage Loan Pool D.A. Mar-10 III Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-08-28,upgrade,[ICRA] AA-,[ICRA] AA,HDFC Mortgage Loan Pool D.A. Mar-10 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-08-28,upgrade,[ICRA] A,[ICRA] AA-,HDFC Mortgage Loan Pool D.A. Mar-10 IV Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-08-28,upgrade,[ICRA] BBB,[ICRA] BBB+,HDFC Mortgage Loan Pool D.A. Mar-12 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-08-28,upgrade,[ICRA] A+,[ICRA] AA,HDFC Mortgage Loan Pool D.A. Mar-11 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-08-28,upgrade,[ICRA] A,[ICRA] A+,HDFC Mortgage Loan Pool D.A. Mar-11 I Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2014-08-28,upgrade,[ICRA] A+,[ICRA] AA-,HDFC Mortgage Loan Pool D.A. Jul-09 Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2014-09-08,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2015-02-17,initial,,CRISIL AAA,Subordinated Debt,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2015-11-18,upgrade,[ICRA] A+,[ICRA] AA-,HDFC Mortgage Loan Pool D.A. Mar-10 III Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2015-11-18,upgrade,[ICRA] AA-,[ICRA] AA,HDFC Mortgage Loan Pool D.A. Mar-10 IV Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2015-11-18,upgrade,[ICRA] BBB+,[ICRA] A-,HDFC Mortgage Loan Pool D.A. Mar-12 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2016-02-03,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2016-07-15,initial,,[ICRA] AAA,MBS 2016 SERIES I TRUST PTC Series A1,,source=history_H1_2023-2024
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2016-11-25,upgrade,[ICRA] A-,[ICRA] A,HDFC Mortgage Loan Pool D.A. Mar-12 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2016-11-25,upgrade,[ICRA] AA-,[ICRA] AA,HDFC Mortgage Loan Pool D.A. Mar-11 I Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2017-01-30,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2017-07-15,upgrade,[ICRA] A1+,[ICRA] A1,NCD,,source=history_H1_2023-2024
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2017-11-10,upgrade,[ICRA] AA-,[ICRA] AA,HDFC Mortgage Loan Pool D.A. Mar-10 III Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2017-11-10,upgrade,[ICRA] A,[ICRA] AA-,HDFC Mortgage Loan Pool D.A. Mar-12 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2017-11-10,upgrade,[ICRA] AA,[ICRA] AA+,HDFC Mortgage Loan Pool D.A. Mar-10 IV Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2018-01-18,downgrade,[ICRA] A1,[ICRA] A3,NCD,,source=history_H1_2023-2024
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2018-08-21,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2019-02-06,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2019-05-17,downgrade,[ICRA] A3,[ICRA] A4,NCD,,source=history_H1_2023-2024
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2019-08-07,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2020-02-18,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2020-07-31,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2021-03-10,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2022-09
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2021-11-10,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2022-01-31,upgrade,[ICRA] AA,[ICRA] AA+,HDFC Mortgage Loan Pool D.A. Mar-10 III Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2022-01-31,upgrade,[ICRA] AA-,[ICRA] AA,HDFC Mortgage Loan Pool D.A. Mar-12 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2022-11-04,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2023-01-27,upgrade,[ICRA] AA,[ICRA] AA+,HDFC Mortgage Loan Pool D.A. Mar-12 II Second Loss Facility,,source=history_H2_2022-2023
HDFC Ltd,Housing Development Finance Corporation Limited,CRISIL,2023-03-29,initial,,CRISIL AAA,Non Convertible Debentures,,Housing Finance Company; Listed; Source: archive/2023-10
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2023-04-03,upgrade,[ICRA] B+ (Negative),[ICRA] BB- (Stable),Bank Facilities,,source=movement_H1_2023-2024; trigger=Annual Surveillance
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2024-04-30,upgrade,[ICRA] BB- (Stable),[ICRA] BB (Stable),Bank Facilities,,source=movement_H1_2024-2025; trigger=Annual Surveillance
HDFC Ltd,Housing Development Finance Corporation Limited,ICRA,2025-04-25,affirmed,[ICRA] BB (Stable)/[ICRA]A4,[ICRA] BBB- (Stable)/ [ICRA]A3,Bank Facilities,,source=movement_H1_2025-2026; trigger=Annual Surveillance
Home First Finance,Home First Finance Company India Limited,ICRA,2018-06-18,initial,,[ICRA] A+,NCD,,source=history_H1_2023-2024
Home First Finance,Home First Finance Company India Limited,ICRA,2022-07-05,upgrade,[ICRA] A+,[ICRA] AA-,NCD,,source=history_H1_2023-2024
Home First Finance,Home First Finance Company India Limited,ICRA,2025-05-29,upgrade,[ICRA] AA- (Stable),[ICRA] AA (Stable),Non-convertible debentures,,source=movement_H1_2025-2026; trigger=Annual Surveillance
Home First Finance,Home First Finance Company India Limited,ICRA,2025-05-29,upgrade,[ICRA] AA-,[ICRA] AA,NCD,,source=history_H1_2025-2026
IIFL Finance,IIFL Finance Limited,CRISIL,2012-08-14,initial,,CRISIL AA-,Subordinated Debt,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
IIFL Finance,IIFL Finance Limited,CRISIL,2016-08-30,upgrade,CRISIL AA-,CRISIL AA,Subordinated Debt,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
IIFL Finance,IIFL Finance Limited,CRISIL,2018-09-07,initial,,CRISIL PPMLD AA r,Long Term Principal Protected Market Linked Debentures,,Non Banking Financial Company (NBFC); Listed; Source: archive/2023-10
IIFL Finance,IIFL Finance Limited,CRISIL,2018-11-01,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
IIFL Finance,IIFL Finance Limited,CRISIL,2018-11-26,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company; Listed; Source: archive/2022-09
IIFL Finance,IIFL Finance Limited,CRISIL,2018-12-14,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: IIFL Robust CV Trust Nov 2018; BFSI; Unlisted; Source: archive/2022-09
IIFL Finance,IIFL Finance Limited,CRISIL,2019-05-10,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: IIFL Robust CV Trust Nov 2018; BFSI; Unlisted; Source: archive/2022-09
IIFL Finance,IIFL Finance Limited,CRISIL,2019-08-20,initial,,CRISIL PPMLD AA r,Long Term Principal Protected Market Linked Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
IIFL Finance,IIFL Finance Limited,ICRA,2020-04-21,initial,,[ICRA] AA,Subordinate Debt,,source=history_H1_2023-2024
IIFL Finance,IIFL Finance Limited,CRISIL,2020-06-26,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
IIFL Finance,IIFL Finance Limited,CRISIL,2020-11-06,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company; Listed; Source: archive/2022-09
IIFL Finance,IIFL Finance Limited,ICRA,2020-12-17,initial,,[ICRA] AA,Liquid Gold Series 3 Dec 2020 PTC Series A,,source=history_H1_2023-2024
IIFL Finance,IIFL Finance Limited,ICRA,2021-02-17,initial,,[ICRA] AA,Liquid Gold Series 4 PTC Series A,,source=history_H1_2023-2024
IIFL Finance,IIFL Finance Limited,CRISIL,2021-08-11,initial,,Provisional CRISIL AA+(SO),Securitized,,Trust: Sparkle Gold Trust July 2021; BFSI; Unlisted; Source: archive/2022-09
IIFL Finance,IIFL Finance Limited,CRISIL,2021-08-25,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Shining Metal Trust II; BFSI; Listed; Source: archive/2022-09
IIFL Finance,IIFL Finance Limited,CRISIL,2021-08-26,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Shining Metal Trust II; BFSI; Listed; Source: archive/2022-09
IIFL Finance,IIFL Finance Limited,CRISIL,2021-09-15,affirmed,Provisional CRISIL AA+(SO),CRISIL AA+(SO),Securitized,,Trust: Sparkle Gold Trust July 2021; BFSI; Unlisted; Source: archive/2022-09
IIFL Finance,IIFL Finance Limited,CRISIL,2021-10-08,initial,,Provisional CRISIL AAA(SO),Securitized,,Trust: Shining Metal Trust September 2021; BFSI; Unlisted; Source: archive/2022-09
IIFL Finance,IIFL Finance Limited,CRISIL,2021-12-29,affirmed,Provisional CRISIL AAA(SO),CRISIL AAA(SO),Securitized,,Trust: Shining Metal Trust September 2021; BFSI; Unlisted; Source: archive/2022-09
IIFL Finance,IIFL Finance Limited,CRISIL,2022-06-28,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
IIFL Finance,IIFL Finance Limited,CRISIL,2023-02-07,affirmed,CRISIL PPMLD AA r,CRISIL PPMLD AA,Long Term Principal Protected Market Linked Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
IIFL Finance,IIFL Finance Limited,CRISIL,2023-06-08,initial,,Provisional CRISIL AAA (SO),Securitized,,Trust: Liquid Gold Series 7; Securitisation; Listed; Source: archive/2024-03
IIFL Finance,IIFL Finance Limited,CRISIL,2023-06-13,affirmed,Provisional CRISIL AAA (SO),CRISIL AAA (SO),Securitized,,Trust: Liquid Gold Series 7; Securitisation; Listed; Source: archive/2024-03
IIFL Finance,IIFL Finance Limited,ICRA,2023-12-21,upgrade,[ICRA] AA (SO),[ICRA] AAA (SO),Liquid Gold Series 3 Dec 2020 PTC Series A,,source=movement_H2_2023-2024; trigger=Annual Surveillance
IIFL Finance,IIFL Finance Limited,CRISIL,2024-02-28,initial,,CRISIL AA-,Perpetual Bonds,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
IIFL Finance,IIFL Finance Limited,CRISIL,2024-12-10,initial,,CRISIL AA,Non Convertible Debentures,,Non Banking Financial Company (NBFC); Debt and Equity Listed; Source: archive/2025-03
IIFL Finance,IIFL Finance Limited,CRISIL,2025-03-26,initial,,Provisional CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Liquid Gold Series 8 Dec 2024; Securitisation; Listed Securitized Debt Instrument; Source: archive/2025-03
IIFL Finance,IIFL Finance Limited,CRISIL,2025-03-28,affirmed,Provisional CRISIL AAA (SO),CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Liquid Gold Series 8 Dec 2024; Securitisation; Listed Securitized Debt Instrument; Source: archive/2025-03
IIFL Finance,IIFL Finance Limited,CRISIL,2025-05-07,initial,,Provisional CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Liquid Gold Series 9; Securitisation; Debt Listed; Source: current
IIFL Finance,IIFL Finance Limited,CRISIL,2025-05-13,affirmed,Provisional CRISIL AAA (SO),CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Liquid Gold Series 9; Securitisation; Debt Listed; Source: current
IIFL Finance,IIFL Finance Limited,CRISIL,2025-05-28,initial,,Provisional CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Liquid Gold Series 10; Securitisation; Debt Listed; Source: current
IIFL Finance,IIFL Finance Limited,CRISIL,2025-05-30,affirmed,Provisional CRISIL AAA (SO),CRISIL AAA (SO),Series A PTCs (securitized),,Trust: Liquid Gold Series 10; Securitisation; Debt Listed; Source: current
IIFL Finance,IIFL Finance Limited,CRISIL,2025-06-27,initial,,Provisional CRISIL AA+ (SO),Series A PTCs (securitized),,Trust: Liquid Gold Series 11; Securitisation; Debt Listed; Source: current
IIFL Finance,IIFL Finance Limited,CRISIL,2025-07-01,initial,,Provisional CRISIL AA+ (SO),Series A PTCs (securitized),,Trust: Liquid Gold Series 12; Securitisation; Debt Listed; Source: current
